month_year,employees_by_hours,employees,employees_all,A,B,C,D,E,F,G,H,I,J,L,N,O
2014-07,157952,161083,166004,148634231,99306197,18315381,3399195,5459494,143429,3701054,4399332,15549437,2599649,0,41054,1773117
2014-08,157992,160919,165695,145793686,97588068,17901587,3315483,5638743,155605,3181812,3912821,13919178,2292340,0,39386,1918030
2014-09,158351,161027,166029,202383440,33556239,23179933,6132408,5630145,148934,5215856,4271956,19228239,2795038,274,43205,1710847
2014-10,158232,162069,166500,202053177,32871858,23584456,6394507,5898368,133294,6433928,4748414,20011971,2302121,243,47944,1836344
2014-11,158309,162181,167091,217488181,15023717,25198603,8187000,6413337,83602,6760716,5224769,16278881,2300311,167,37705,1819443
2014-12,157959,162537,168252,192992464,45668031,23292948,7039378,6289697,174367,6367151,5467111,19332333,4056828,0,39159,1890568
2015-01,157637,161187,166504,200719623,31496913,23400377,5917743,6055786,121034,7334613,5619527,19319955,1985288,75,27210,1835116
2015-02,157468,161498,166895,202887189,27135336,22941875,6215764,5826038,127966,8410547,5793530,18147179,1295454,55,34681,1604612
2015-03,157982,161586,166888,212467970,17928617,24075314,7208902,6041594,115984,7938466,5948581,20367384,1503879,25,38952,1782697
2015-04,158093,162335,167525,185849876,48917171,22463506,6480985,6180119,115683,6713250,5743574,18758541,3643160,0,42683,1833134
2015-05,158546,161768,169743,200839763,34073689,24210728,6831598,6879867,117567,5274987,5352840,19165592,51420843,224,48144,1917442
2015-06,157664,161877,167347,194775151,41916233,23150206,7320048,6354911,126170,4757841,5118996,19250463,3650225,512,36880,1773953
2015-07,157191,161603,166778,147533576,94779288,18253304,3644407,5910049,123536,3693471,4579163,15756780,2061481,23,42860,1750918
2015-08,158150,161284,166482,152018452,90393426,18659520,3460324,6317163,125340,3536867,4324346,14380026,2953332,51,39981,1869571
2015-09,158627,162594,167632,202167497,34495794,23151399,6546276,6102674,162284,5312767,4567815,19382595,2908638,302,43985,1695623
2015-10,159130,163032,168200,209999376,23517127,25096812,6780300,6792981,119582,6516645,5231607,20214748,2614204,0,37070,1799981
2015-11,159769,163553,169361,217619325,14969308,26942295,9864019,7912546,131228,6658211,5613414,21082286,2999143,0,47040,1747991
2015-12,158289,162449,167708,203782199,36900871,26814829,8137101,8700728,140952,6186119,5685773,20012527,3769842,0,46015,1830931
2016-01,159740,163621,168722,209882665,31427543,26447858,6929847,8214810,105720,7352166,6099225,19640030,1431737,0,34826,1892391
2016-02,159251,163442,168889,204354119,37619771,25406125,6158857,7181263,104853,7977210,6279597,18899282,1200731,0,34025,1743397
2016-03,159423,164042,169541,213161610,29478699,25932492,6981276,7084792,122447,7230868,6182047,20949056,1736424,279,40629,1827548
2016-04,160585,165021,170316,205763665,39566952,24678755,6820278,7196143,114404,6371003,6121719,19467911,6580188,0,50031,1829202
2016-05,160528,164646,172873,210840502,35252164,25385407,6926965,7445374,104439,5706672,5978487,20508406,93532989,144,43161,1921058
2016-06,160950,164895,170604,215111163,32048324,25369671,7838111,6969149,110602,5294960,5742481,20765052,6443006,0,38804,1774919
2016-07,161283,164462,169924,152264815,101975273,19595584,3733268,7008466,118778,4031118,5038434,15418790,2149935,0,34430,1891989
2016-08,160405,164682,169623,151644495,104184933,19137835,3280974,6561316,133730,3633617,4786271,15241999,2438452,0,47052,1842422
2016-09,161784,166368,171435,215735220,37125554,24846994,7103870,6629780,109038,5873390,5083756,20313123,2988008,68,48856,1802571
2016-10,162545,166984,171848,219413092,30228361,26397051,7309639,7486001,132602,7460263,5631850,20806430,2724776,0,34175,2008373
2016-11,162380,167163,172986,219150988,31695155,26263955,9104456,6894963,118887,7120555,6073342,21163451,3958424,0,30902,1809085
2016-12,162658,167079,172844,212944004,41814990,25634592,7736515,7347731,148236,6960682,6304271,20404336,5442631,0,42470,2072667
2017-01,162264,167305,173016,217813250,32133401,26392565,6926583,7621989,114186,9727927,7031934,21064170,1764825,571,33908,2086340
2017-02,162341,167661,173019,213408671,37602323,25671127,6670750,6645940,106065,10046982,7131946,19455188,1176737,0,36716,1877133
2017-03,162889,167947,173822,229567153,23229766,26562589,7381328,7050317,118701,8040417,6972747,22298696,2047771,77,42384,1964415
2017-04,164346,168731,174247,206048244,52334560,25520798,7017953,7519556,104246,6624923,6621476,19440803,7031796,0,44004,2216668
2017-05,163128,167760,176748,213826874,47595507,26175819,7002913,7677308,106008,5603408,6451067,21061193,106647917,0,38643,2104627
2017-06,164063,168457,174549,223783115,36124823,26059701,8093772,7163890,105877,5560666,6264880,21276614,6284096,18,37818,1929579
2017-07,165575,167714,173610,157016258,109540084,20204998,4284461,9772171,111193,4306572,5659633,16008366,2243369,10,36793,2006802
2017-08,163439,167692,172968,158632723,108547048,20211550,3595135,6814501,110865,4135310,5350300,16352294,2684023,0,36590,1849058
2017-09,168184,170466,175684,228864160,40698415,26803179,6917615,7168058,109917,6755029,5707891,20621928,3082323,71,45860,1806822
2017-10,166544,171178,176392,228926061,34995539,27605229,8515252,8053792,110805,8005581,6295438,22202368,2405663,0,35744,1855848
2017-11,165850,170998,177135,229719445,33819507,27835871,10080520,8003029,117835,7582050,6875489,22286806,3956086,0,50460,1768553
2017-12,166690,171210,177026,212438993,55472252,26786338,8727845,8859062,138945,7630732,6993727,20250550,5317145,0,42807,1993031
2018-01,166206,170824,177308,220920401,44883511,27470353,7231470,9944199,104564,7991423,7532140,22304492,2054177,0,47756,1876334
2018-02,166596,170800,177048,218690492,47210877,26534453,6722378,7829594,108356,9431247,7742336,20215277,1648339,0,54179,1672285
2018-03,166446,171168,177641,236003234,26788858,27679014,7891133,7783720,105194,9731332,7877432,22577275,2345106,71,42238,1753073
2018-04,166990,172162,178257,216485453,52140930,26981687,8209096,8608418,106465,7756440,7655297,21177117,10877287,172,41507,1878804
2018-05,166477,171883,181072,219021523,51664856,27305412,8888427,8858375,101564,6223840,7308986,22437129,116323487,0,48286,1819083
2018-06,167929,172422,178991,219783931,52546790,26804735,9718994,8508680,103687,5952237,7107292,21296102,7635299,0,42161,1810554
2018-07,169224,171440,177892,167096583,110685477,22062093,5086758,11463249,107454,4714536,6399259,17184858,2839824,0,42111,1753177
2018-08,166685,171279,176973,165731816,113075176,21124230,6239583,7311857,104398,4567488,6012193,17128704,4207913,0,47924,1779292
2018-09,169944,172590,178697,230009777,41708337,27132776,9414014,8560842,102623,6907110,6349681,21235060,3807806,0,59903,1778100
2018-10,168921,174165,179655,231077142,38186369,28001460,9521552,7949253,109140,8599194,7002768,23626398,3165336,18,42080,1807198
2018-11,169169,174283,180593,233953089,35328222,28577816,11829579,8101335,113778,8306902,7420455,23332447,5529091,19,49484,1969697
2018-12,170052,173892,180551,216161530,61747255,27707198,10128761,9687953,130624,7883589,7534228,20547329,6110464,0,71267,1957601
2019-01,170235,174775,180578,234113649,49823101,29435607,9030388,12538543,97270,9476773,8120837,22614918,2581053,0,48283,1898476
2019-02,169613,174060,180335,234996034,48174166,28809044,10190555,7952985,94497,10721327,8392960,20771356,2252079,0,45952,1729016
2019-03,170560,174292,180760,258742229,25063980,30836180,10648656,8585086,101040,9603434,8321070,23083961,2459433,0,60105,1881486
2019-04,169962,175222,181318,241433116,45803337,30330936,10523070,8697962,104935,8284507,8041389,22878143,11062515,0,55285,1832532
2019-05,170718,175875,184531,233510632,57445804,29659975,9845932,9989841,106664,7036799,7884726,23119068,129077539,0,52479,1898327
2019-06,172502,175248,181740,235046949,57181925,30591700,10976196,10597062,107074,6616390,7493212,21191429,6499045,0,46350,1703425
2019-07,171954,174875,181125,180730887,116973072,24528797,6427726,13215918,109378,5250881,6705718,18242495,3048978,0,40255,1499868
2019-08,170523,174448,180252,178902495,120866746,23109452,5487703,8704779,116571,4970819,6505948,17103323,4689827,0,64223,1587116
2019-09,172347,175931,181997,247369637,44303049,30507695,10059818,10598606,110121,7517177,6840935,22287784,4302821,0,59115,1588989
2019-10,172025,177645,183361,246427656,43951853,32040805,10528898,9880951,112545,8927904,7473789,24034071,3466332,0,55371,1530997
2019-11,172696,177677,183864,260093187,35557148,33351835,13196437,9942073,121895,9088491,7892600,23512972,4819831,0,72532,1493310
2019-12,172789,177556,183583,237848489,64681863,32182497,11572374,11107893,154594,8729555,8152445,22116575,6165131,0,61898,1598358
2020-01,179523,177467,184014,243703181,57072991,32666304,10177021,14032552,111613,9732691,9270965,22763329,4105181,0,43112,1434270
2020-02,179450,176872,183563,257356331,38432629,32978936,10331328,10208605,102248,11545748,9937338,21380189,5645086,0,62669,1365291
2020-03,178554,177022,183753,246757556,41800963,44838820,9867968,9442628,102217,19409939,9150796,19961712,4574209,0,31751,1354607
2020-04,177498,176672,183136,197041377,70670041,76528429,7549161,9215066,99119,44170046,8266577,12468353,4592309,0,18531,1352827
2020-05,178652,175798,186098,240146338,41210609,79200055,8754185,11202960,104892,32154861,8427555,16737344,147566345,0,13881,1429938
2020-06,178034,176822,183840,252270623,52041336,51865881,9736741,9814661,101729,12530792,7786897,20997190,7715200,0,27216,1314262
2020-07,177913,176721,184296,194174235,119922336,38732648,6704597,11399310,108488,6390634,7273485,18080630,4236397,0,32650,1333795
2020-08,178128,176328,183194,200973890,113100224,30995548,6444727,10452903,112177,5571620,6849429,16830643,5634334,0,53186,1446113
2020-09,179519,178570,184935,260660608,45852393,36845686,10892486,10862731,114743,9507588,7548021,22316771,4144596,0,44652,1301310
2020-10,180506,179613,186053,264950250,33571087,48500999,18643375,11174898,114868,14226308,9952914,22488384,3755654,0,33077,1433512
2020-11,181085,178850,186480,261615039,18465908,87748975,13595674,11706938,133018,26156323,13755459,18803149,5989468,0,15619,1380960
2020-12,181342,180279,188638,240986370,47531681,101158326,20916499,13173141,150192,28794827,13330285,17628975,7316076,0,34151,1385475
2021-01,183002,180340,188087,254274540,40317023,101163201,26288495,15425537,110097,24987286,12651936,18355382,4889344,0,24280,1448323
2021-02,181811,180030,187986,257810121,48307075,91920877,10448646,11054245,110493,14374130,12467267,19144117,4419859,0,19444,1254814
2021-03,181659,180416,189060,286550175,20655690,107544498,13174393,10904075,110273,11209793,12640563,23920004,4341318,0,34766,1250074
2021-04,182068,180795,189285,238073733,74905743,101971725,18043112,12040969,113701,11924538,12004299,20155722,6087461,0,27409,1353957
2021-05,184191,180550,192482,267854895,40146585,137222031,15749724,15118872,120230,12136418,14442133,22983095,146909888,0,36723,1405684
2021-06,183990,181026,190186,251257423,67484943,76277457,18581456,15411680,110450,7628311,11213197,23781489,13348092,0,49891,1191482
2021-07,181073,180348,189800,185574009,142974329,51766152,29228582,10176887,119041,5420704,9969718,18377719,3936918,0,48675,1143176
2021-08,179105,177490,186103,199059278,121928408,33493687,8258020,11551249,120762,5649760,7215552,18915479,6528182,0,48548,1170171
2021-09,182126,181193,189912,274930554,32247653,35871424,16178901,11135238,124818,11661059,10003296,27025263,5821538,0,54322,1057838
2021-10,184535,182049,191081,267904790,36973591,41706218,19465260,13157964,116481,13286927,11711812,25284328,5138320,80,43915,1143819
2021-11,184061,182353,189890,270749188,31857291,46527510,16782417,13077900,132910,13721856,14611576,26621087,6400293,0,51588,1118609
2021-12,183951,182600,191910,266868404,54218684,38612517,30610986,18821022,162060,11882635,12297752,26274198,9163660,93,49741,1161879
2022-01,184668,182038,189614,283213255,19992452,39946119,25849724,14982783,111741,15947347,22173498,25484328,5889554,0,73211,1124978
2022-02,184322,181840,188940,259487137,53894139,36348622,15309409,12800132,117248,11160327,21554875,22904314,4226570,0,41611,1006852
2022-03,183024,181810,189231,284772784,31605363,38116412,18569505,12060977,117987,9802392,16724874,29775505,5024947,0,521615,1022971
2022-04,185697,181988,189492,249812438,77366216,36312861,20098379,15222136,127813,8631475,14191980,25935048,5739524,0,57814,1078460
2022-05,184096,181997,192428,278776910,48394441,38415757,16660879,12910865,138160,7869621,12127181,29533598,159523326,0,61689,1103771
2022-06,185664,182365,189850,271016078,58136621,36472058,23409388,17316734,131660,7962190,11444100,29589420,12131112,0,52077,1031477
2022-07,183511,181818,189719,190828502,149006071,27351901,29863048,12170239,133274,6056819,11774763,21244613,3732671,0,61154,1064757
2022-08,182917,180899,187792,204551615,133106263,28463904,9215600,14013930,130119,5844580,10817157,24637519,6643838,0,73482,1010143
2022-09,183779,182551,190607,284812558,35945536,36271016,16677498,11525301,125667,10224731,13934675,34452562,12564822,0,55701,1005520
2022-10,185954,183519,197195,292559164,40112123,40969563,20783681,13925095,123394,11288263,15162865,36246476,38680355,1320,65345,1156834
2022-11,185760,183633,191270,287970531,50757614,39794854,18331312,12584614,124106,10673807,13377340,33357626,8027327,0,61406,1066998
